Sample_name_simple,Sample_name,Sample_number,Sound_number,mass_ini,mass_0,mass_n,mass_end,f1_ini,a1_ini,f1_0,a1_0,f1_n,a1_n,f1_end,a1_end
S_pl_d_2,S26,26,2,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_3,S26,26,3,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_4,S26,26,4,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_6,S26,26,6,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_7,S26,26,7,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_8,S26,26,8,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_9,S26,26,9,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pt_d2_1,S27,27,1,617.75,632.41,633.89,617.39,9348,0.6028,8630,1.47,4537.750205,4.959572,7104.522742,0.681352
S_pt_d2_3,S27,27,3,617.75,632.41,633.89,617.39,9348,0.6028,8630,1.47,4537.750205,4.959572,7104.522742,0.681352
S_pt_d3_3,S28,28,3,0,0,0,0,8478,0.9505,7892,1.421,5652.558195,6.901939,0,0
S_pt_d4_2,S29,29,2,0,0,0,0,9207,0.899,8621,1.066,4549.123918,2.330161,0,0
S_pt_d4_3,S29,29,3,0,0,0,0,9207,0.899,8621,1.066,4549.123918,2.330161,0,0
