Sample_name_simple,Origin,Form,geology,Sample_name,Sample_number,Sound_number,mass_ini,mass_0,mass_n,mass_end,f1_ini,a1_ini,f1_0,a1_0,f1_n,a1_n,f1_end,a1_end,sound_path_ini,rms_ini,centroid_ini,flatness_ini,rolloff_ini,contrast1_ini,contrast2_ini,RDEM,Q,Q0,dQ,D,D class
L_pl_e_9,L,pl,e,S3,3,9,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996,./audio/raw_data_ampl_norm/L_pl_e_9_ini_ampl_norm.wav,0.10158413,3644.558124,0.012703933,6825.870647,35.89942597,26.72003838,0.984260154,65.05579836,72.78369994,0.893823733,0.02,Resistant
L_pt_a2_1,L,pt,a2,S4,4,1,592.19,595.85,595.58,591.58,5750,0.4005,5519,0.8356,5313.904427,1.026652,5624.842602,0.553029,./audio/raw_data_ampl_norm/L_pt_a2_1_ini_ampl_norm.wav,0.10633063,4598.14825,0.33393717,8694.859038,34.91190646,17.8950415,0.927057539,48.70199444,59.8372427,0.813907731,0.07,Resistant
L_pt_a2_2,L,pt,a2,S4,4,2,592.19,595.85,595.58,591.58,5750,0.4005,5519,0.8356,5313.904427,1.026652,5624.842602,0.553029,./audio/raw_data_ampl_norm/L_pt_a2_2_ini_ampl_norm.wav,0.10185131,4639.603612,0.25436905,8625.787728,37.43006127,18.935668,0.927057539,48.70199444,59.8372427,0.813907731,0.07,Resistant
L_pt_a2_3,L,pt,a2,S4,4,3,592.19,595.85,595.58,591.58,5750,0.4005,5519,0.8356,5313.904427,1.026652,5624.842602,0.553029,./audio/raw_data_ampl_norm/L_pt_a2_3_ini_ampl_norm.wav,0.11248627,4738.731491,0.19998798,8601.409619,37.28053375,20.42723453,0.927057539,48.70199444,59.8372427,0.813907731,0.07,Resistant
L_pt_a3_1,L,pt,a3,S5,5,1,619.04,622.77,622.71,618.7,5372,0.3811,5170,0.8609,5046.659326,0.880859,5286.781791,0.923733,./audio/raw_data_ampl_norm/L_pt_a3_1_ini_ampl_norm.wav,0.11028633,4567.943405,0.18896545,8524.212272,38.5983401,18.94550915,0.952855162,56.76277361,58.07875479,0.977341436,0.05,Resistant
L_pt_a3_2,L,pt,a3,S5,5,2,619.04,622.77,622.71,618.7,5372,0.3811,5170,0.8609,5046.659326,0.880859,5286.781791,0.923733,./audio/raw_data_ampl_norm/L_pt_a3_2_ini_ampl_norm.wav,0.10309485,4752.360234,0.07149519,8414.510779,30.52840568,22.1085232,0.952855162,56.76277361,58.07875479,0.977341436,0.05,Resistant
L_pt_a3_3,L,pt,a3,S5,5,3,619.04,622.77,622.71,618.7,5372,0.3811,5170,0.8609,5046.659326,0.880859,5286.781791,0.923733,./audio/raw_data_ampl_norm/L_pt_a3_3_ini_ampl_norm.wav,0.109860376,4491.205778,0.062231563,8065.091211,34.44569882,22.22728484,0.952855162,56.76277361,58.07875479,0.977341436,0.05,Resistant
L_pt_a4_1,L,pt,a4,S6,6,1,614.83,618.79,618.26,614.38,5804,0.4269,5550,1.043,5350.004777,1.08274,5687.73804,0.404135,./audio/raw_data_ampl_norm/L_pt_a4_1_ini_ampl_norm.wav,0.10375868,4724.960662,0.20507203,8581.094527,31.58469104,18.72079802,0.929228183,46.17913811,47.93863854,0.963296821,0.07,Resistant
L_pt_a4_2,L,pt,a4,S6,6,2,614.83,618.79,618.26,614.38,5804,0.4269,5550,1.043,5350.004777,1.08274,5687.73804,0.404135,./audio/raw_data_ampl_norm/L_pt_a4_2_ini_ampl_norm.wav,0.103327766,4733.680248,0.16935863,8532.338308,31.61956068,20.0803734,0.929228183,46.17913811,47.93863854,0.963296821,0.07,Resistant
L_pt_a4_3,L,pt,a4,S6,6,3,614.83,618.79,618.26,614.38,5804,0.4269,5550,1.043,5350.004777,1.08274,5687.73804,0.404135,./audio/raw_data_ampl_norm/L_pt_a4_3_ini_ampl_norm.wav,0.10397422,4796.041481,0.10991564,8414.510779,34.09291795,21.34606799,0.929228183,46.17913811,47.93863854,0.963296821,0.07,Resistant
L_pt_b2_1,L,pt,b2,S7,7,1,381.59,383.91,383.64,381.52,5447,0.4508,5313,0.607,5270.619718,0.746196,5376.053898,2.168966,./audio/raw_data_ampl_norm/L_pt_b2_1_ini_ampl_norm.wav,0.13346201,4642.689033,0.12526281,8499.834163,37.82015807,20.65592901,0.9841102,67.00652376,82.3723229,0.813459198,0.02,Resistant
L_pt_b2_2,L,pt,b2,S7,7,2,381.59,383.91,383.64,381.52,5447,0.4508,5313,0.607,5270.619718,0.746196,5376.053898,2.168966,./audio/raw_data_ampl_norm/L_pt_b2_2_ini_ampl_norm.wav,0.12057205,4510.558572,0.038757782,8008.208955,35.50956137,23.08564957,0.9841102,67.00652376,82.3723229,0.813459198,0.02,Resistant
L_pt_e2_1,L,pt,e2,S8,8,1,370.4,372.65,372.51,370.3,3370,0.6298,3252,0.8499,3238.966638,0.924462,3361.174649,0.823361,./audio/raw_data_ampl_norm/L_pt_e2_1_ini_ampl_norm.wav,0.16010103,4082.282531,0.005992536,7536.898839,44.15052529,25.53705769,0.992000465,54.08551136,58.83045064,0.919345522,0.01,Resistant
L_pt_e2_2,L,pt,e2,S8,8,2,370.4,372.65,372.51,370.3,3370,0.6298,3252,0.8499,3238.966638,0.924462,3361.174649,0.823361,./audio/raw_data_ampl_norm/L_pt_e2_2_ini_ampl_norm.wav,0.16177598,4245.563883,0.008303465,7971.641791,33.04738276,24.87263271,0.992000465,54.08551136,58.83045064,0.919345522,0.01,Resistant
L_pt_e2_3,L,pt,e2,S8,8,3,370.4,372.65,372.51,370.3,3370,0.6298,3252,0.8499,3238.966638,0.924462,3361.174649,0.823361,./audio/raw_data_ampl_norm/L_pt_e2_3_ini_ampl_norm.wav,0.1457433,4069.040928,0.014885271,7870.066335,33.31960246,24.64821368,0.992000465,54.08551136,58.83045064,0.919345522,0.01,Resistant
L_pt_e3_1,L,pt,e3,S9,9,1,392.69,395.04,394.42,392.16,3622,0.3816,3494,0.7959,3496.006903,0.658781,3640.857381,1.575272,./audio/raw_data_ampl_norm/L_pt_e3_1_ini_ampl_norm.wav,0.13970959,4343.814184,0.028033312,8174.792703,38.02268063,23.5168328,1.001149101,75.89775661,62.82196256,1.20814049,0,Resistant
L_pt_e3_2,L,pt,e3,S9,9,2,392.69,395.04,394.42,392.16,3622,0.3816,3494,0.7959,3496.006903,0.658781,3640.857381,1.575272,./audio/raw_data_ampl_norm/L_pt_e3_2_ini_ampl_norm.wav,0.14184372,4170.496567,0.013291119,7825.373134,30.9728303,24.77845136,1.001149101,75.89775661,62.82196256,1.20814049,0,Resistant
L_pt_e3_3,L,pt,e3,S9,9,3,392.69,395.04,394.42,392.16,3622,0.3816,3494,0.7959,3496.006903,0.658781,3640.857381,1.575272,./audio/raw_data_ampl_norm/L_pt_e3_3_ini_ampl_norm.wav,0.13312836,4146.93491,0.019219607,7874.129353,30.77597585,23.49965564,1.001149101,75.89775661,62.82196256,1.20814049,0,Resistant
L_pt_e4_1,L,pt,e4,S10,10,1,344.41,346.52,346.01,343.84,3115,0.8322,2980.149804,0.966569,2954.945409,0.682226,3075.451996,1.295235,./audio/raw_data_ampl_norm/L_pt_e4_1_ini_ampl_norm.wav,0.14466667,3994.874068,0.027494643,8036.650083,36.70948835,23.04774503,0.983156677,73.28949644,51.72936438,1.416787106,0.02,Resistant
L_pt_e4_2,L,pt,e4,S10,10,2,344.41,346.52,346.01,343.84,3115,0.8322,2980.149804,0.966569,2954.945409,0.682226,3075.451996,1.295235,./audio/raw_data_ampl_norm/L_pt_e4_2_ini_ampl_norm.wav,0.14063723,4018.847009,0.028082406,7975.704809,43.10444298,23.41694817,0.983156677,73.28949644,51.72936438,1.416787106,0.02,Resistant
L_pt_e4_3,L,pt,e4,S10,10,3,344.41,346.52,346.01,343.84,3115,0.8322,2980.149804,0.966569,2954.945409,0.682226,3075.451996,1.295235,./audio/raw_data_ampl_norm/L_pt_e4_3_ini_ampl_norm.wav,0.13104847,4011.644031,0.016971368,7906.633499,34.24448335,23.18309646,0.983156677,73.28949644,51.72936438,1.416787106,0.02,Resistant
LG_pl_a_1,LG,pl,a,S30,30,1,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071,./audio/raw_data_ampl_norm/LG_pl_a_1_ini_ampl_norm.wav,0.13730383,4449.848625,0.021354618,8130.099502,34.42775614,23.82942327,0.992665746,127.8932654,140.4494382,0.91060005,0.01,Resistant
