Sample_name,Sample_number,Form,Geology,Damage class,RDEM_94,Q_94,rms_ini_1,rms_ini_2,rms_ini_3,rms_ini_4,rms_ini_5,rms_ini_6,rms_ini_7,rms_ini_8,rms_ini_9,centroid_ini_1,centroid_ini_2,centroid_ini_3,centroid_ini_4,centroid_ini_5,centroid_ini_6,centroid_ini_7,centroid_ini_8,centroid_ini_9,flatness_ini_1,flatness_ini_2,flatness_ini_3,flatness_ini_4,flatness_ini_5,flatness_ini_6,flatness_ini_7,flatness_ini_8,flatness_ini_9,rolloff_ini_1,rolloff_ini_2,rolloff_ini_3,rolloff_ini_4,rolloff_ini_5,rolloff_ini_6,rolloff_ini_7,rolloff_ini_8,rolloff_ini_9,contrast1_ini_1,contrast1_ini_2,contrast1_ini_3,contrast1_ini_4,contrast1_ini_5,contrast1_ini_6,contrast1_ini_7,contrast1_ini_8,contrast1_ini_9,contrast2_ini_1,contrast2_ini_2,contrast2_ini_3,contrast2_ini_4,contrast2_ini_5,contrast2_ini_6,contrast2_ini_7,contrast2_ini_8,contrast2_ini_9
S23,23,pt,M_pt_c3,Resistant,1,89.45,0.11278191,0.11844931,0.11463065,,,,,,,6038.352104,5794.012855,6034.03106,,,,,,,0.03769479,0.08845698,0.045896288,,,,,,,7918.822554,8365.754561,8069.154229,,,,,,,35.57185518,37.87012681,30.64400792,,,,,,,23.13610537,21.49702777,22.52087912,,,,,,
S24,24,pt,M_pt_c4,Resistant,1.01,43.27,0.115797944,0.11798593,0.113704614,,,,,,,5779.528859,6224.747574,6169.833048,,,,,,,0.23784235,0.048330862,0.09752429,,,,,,,8564.842454,8219.485904,8227.61194,,,,,,,46.51420289,34.37748924,30.04741676,,,,,,,18.86506042,22.17742143,21.20467513,,,,,,
S31,31,pl,P_pl_a,Resistant,0.94,133.86,0.16066577,0.19582662,0.12649395,0.19378398,0.18716934,0.17459448,0.13932858,0.19927822,0.1572619,3484.51984,3567.943613,3724.955277,3567.341437,3588.826693,3705.057905,3694.414566,3594.630069,3385.740236,0.005031685,0.001369127,0.000572367,0.000553841,0.003034804,0.00083164,0.00041718,0.000845816,0.000857531,7658.789386,6817.74461,4952.819237,5968.573798,7455.638474,6647.097844,4648.092869,6622.719735,5586.650083,37.23091474,39.27991865,31.17501062,30.44034274,44.3846148,42.14800894,29.68549875,41.89874104,36.02579285,25.70917299,27.93207796,31.53302682,30.1080925,25.95212936,28.61228729,32.13900113,29.34178523,30.24769831
S25,25,pl,S_pl_a,Broken,0,0,0.14337687,0.17232041,0.12291317,0.14938058,0.13036826,0.13516103,0.13516106,0.13418685,0.14725094,3608.57111,3104.654372,4196.522646,3374.624402,3586.972667,3738.185931,3738.762454,3386.700093,3090.176791,0.04765858,0.020409208,0.07067767,0.002438271,0.004265036,0.000761077,0.000762356,0.005421758,0.00424338,8552.6534,8353.565506,8247.927032,7199.668325,7540.961857,5468.822554,5472.885572,7471.890547,7366.252073,37.27320444,32.04913157,41.70091047,35.33471724,38.14455293,30.33529278,31.72800597,36.02328134,41.20392586,22.01197708,22.59654826,21.60287025,27.11488117,26.18638356,30.93821542,30.88487634,27.65037042,27.11784956
S26,26,pl,S_pl_d,Uncertain,0.88,43.53,0.10496309,0.11540796,0.08697397,0.11328449,0.11632069,0.11221423,0.13240266,0.11197356,,4478.674756,4815.835668,4712.744674,4839.034483,4926.720338,4239.243553,4760.857476,4481.206816,,0.24088185,0.22990476,0.026214257,0.2770029,0.08378912,0.020278128,0.12948227,0.07067568,,8617.661692,8532.338308,8093.532338,8678.606965,8126.036484,8016.334992,8467.330017,8101.658375,,38.74559956,40.20147153,31.68874219,33.63365202,36.44822819,32.19437623,35.0939202,36.63909943,,17.84451088,19.61026884,23.594192,18.00958442,22.09481072,23.30992968,20.13254344,21.30795439,
S27,27,pt,S_pt_d2,Broken,0.28,10.08,0.09763796,0.094784275,,,,,,,,7898.304079,7788.368461,,,,,,,,0.28588417,0.31518847,,,,,,,,9178.358209,9235.240464,,,,,,,,33.69754629,28.33749209,,,,,,,,19.22955563,17.64915991,,,,,,,
S28,28,pt,S_pt_d3,Broken,0,0,0.108115785,,,,,,,,,7916.54869,,,,,,,,,0.22083402,,,,,,,,,8942.703151,,,,,,,,,28.20971814,,,,,,,,,18.55860501,,,,,,,,
S29,29,pt,S_pt_d4,Broken,0,0,0.090030394,0.087166786,,,,,,,,7079.416207,7781.297571,,,,,,,,0.33472818,0.29726157,,,,,,,,8971.144279,9308.374793,,,,,,,,30.26714718,26.01548393,,,,,,,,17.76633211,17.87803467,,,,,,,

S30,30,pl,LG_pl_a,Resistant,0.99,127.89,0.13730383,0.1638744,0.1493026,0.18418483,0.17864616,0.14212967,0.13524455,0.18448105,0.16488962,4499.760719,4119.696514,4178.215768,4297.761635,4095.520148,4623.52716,3976.664526,3843.748065,3820.442423,0.021354618,0.009320224,0.19055331,0.006619799,0.006405396,0.022468282,0.002659835,0.022226265,0.005575128,8130.099502,8077.280265,8646.102819,7890.381426,7983.830846,8199.170813,7171.227197,8276.368159,7638.474295,34.42775614,32.53403092,36.52482544,39.61146041,34.03000818,37.67718319,38.80126002,37.25885572,36.69649933,23.82942327,24.30502032,19.94277603,24.95654149,24.68925813,23.03138557,28.65945369,22.57040853,26.33543652
